,EN_tokens
bnc,2
mutual,2
firstli,2
ancora,2
assess,2
neurolinguist,2
begin,2
sampl,2
entir,2
reproduc,2
customiz,2
choic,2
ellis,2
synonymi,2
wordnet,2
shorten,2
persist,2
fundament,2
kingdom,2
characterist,2
highli,2
background,2
centr,2
judgement,2
wherea,2
survivor,2
latest,2
six,2
major,2
historiographi,2
recurr,2
disciplin,2
student,2
20th,2
centuri,2
polysemi,2
typic,2
reach,2
qtleap,2
anoth,2
past,2
conceptu,2
cql,2
subtitl,2
crosslingu,2
newer,2
preposit,2
util,2
move,2
reliabl,2
tv,2
retrain,2
programm,2
confirm,2
agre,1
nist,1
interlingu,1
českých,1
cder,1
ter,1
wer,1
normal,1
revis,1
nonliter,1
anaforická,1
sentbleu,1
microsoft,1
american,1
founder,1
který,1
referenc,1
encount,1
replac,1
anglických,1
korpusu,1
nois,1
distanc,1
receiv,1
awar,1
edit,1
stem,1
drawn,1
automatického,1
inher,1
secondli,1
vztažná,1
centrální,1
nebo,1
cumul,1
však,1
million,1
zájmena,1
skutečnostem,1
těmto,1
kvůli,1
proč,1
důvod,1
arab,1
surround,1
transduc,1
piec,1
vypracovali,1
algoritmu,1
particl,1
broader,1
foster,1
lab,1
monograph,1
vylepšení,1
shift,1
zaměřujem,1
proto,1
několika,1
valid,1
openoffic,1
market,1
undertak,1
ručně,1
finit,1
counterpart,1
analyzováni,1
lingvisticki,1
omiss,1
dále,1
omit,1
anatováni,1
judg,1
regardless,1
instal,1
ratio,1
byli,1
daných,1
must,1
soft,1
panel,1
terminolog,1
naıv,1
server,1
preprocess,1
furthermor,1
massiv,1
mode,1
compat,1
onto,1
cloud,1
webcol,1
shuffl,1
decad,1
overturn,1
uation,1
dsd,1
x,1
depart,1
korespond,1
denois,1
decre,1
vylepšuj,1
bed,1
promiss,1
dstc2,1
belong,1
percept,1
postprocess,1
kvalitu,1
richer,1
autoencod,1
variabl,1
svm,1
toefl11,1
blanchard,1
exact,1
doc,1
ayaspel,1
scarc,1
denc,1
nejen,1
tyto,1
ostatní,1
subform,1
readabl,1
safir,1
python,1
slovak,1
slightli,1
slovenian,1
croatian,1
všechni,1
place,1
polish,1
typi,1
walenti,1
west,1
reflect,1
ontonot,1
thesauri,1
gemet,1
transport,1
sd,1
verif,1
prefer,1
download,1
reveal,1
arrang,1
known,1
writer,1
40th,1
olymp,1
slovenia,1
neither,1
portorož,1
length,1
functor,1
confer,1
depl,1
beyond,1
lrec,1
yu,1
reus,1
presum,1
perceiv,1
brought,1
clara,1
mari,1
curi,1
initi,1
epistemolog,1
cours,1
importantli,1
theme,1
varieti,1
regular,1
predomin,1
revisit,1
hindsight,1
elementari,1
curriculum,1
merg,1
prompt,1
substitut,1
checker,1
monitor,1
25th,1
düsseldorf,1
automatioc,1
sdss,1
situat,1
bootstrap,1
weather,1
proceed,1
ignit,1
incorpor,1
effort,1
event,1
end,1
rest,1
fix,1
hundr,1
apach,1
size,1
usabl,1
valuat,1
suffici,1
sometim,1
sole,1
alon,1
face,1
auxiliari,1
w2c,1
join,1
vulgar,1
thirti,1
uniqu,1
equal,1
adcolloc,1
preliminari,1
ironi,1
count,1
depict,1
bodi,1
hypernym,1
broadli,1
matsumoto,1
terkourafi,1
maximum,1
entrophi,1
boom,1
plain,1
necessarili,1
took,1
live,1
dstc,1
belief,1
straková,1
greedi,1
30k,1
artifici,1
paralelním,1
therebi,1
around,1
ner,1
predefin,1
locat,1
conll09,1
fruit,1
similarli,1
swap,1
compact,1
endpoint,1
pid,1
extern,1
catalan,1
submitt,1
necess,1
ordinari,1
progress,1
unequivoc,1
inspect,1
agrovoc,1
spatial,1
composit,1
command,1
prepar,1
asid,1
pay,1
closer,1
thorough,1
bad,1
product,1
good,1
unavail,1
despit,1
interestingli,1
complementari,1
discrimin,1
side,1
modest,1
vp,1
reusabl,1
choos,1
except,1
allomorph,1
proposit,1
arisen,1
ascript,1
essenti,1
enviro,1
fusion,1
upon,1
ict,1
morphem,1
sloven,1
indispens,1
fragmentari,1
imagin,1
string,1
typograph,1
pc,1
enhanc,1
advic,1
unknown,1
crowdflow,1
doctor,1
interdisciplinari,1
trivial,1
filter,1
properli,1
gather,1
coverag,1
ensur,1
csenvi,1
pairwis,1
movi,1
ted,1
clean,1
difficult,1
meaning,1
replic,1
cooper,1
weak,1
vietnames,1
constrain,1
roth,1
yih,1
constraint,1
integ,1
dec,1
endang,1
vztahů,1
organiz,1
mff,1
uk,1
brows,1
fund,1
charg,1
promot,1
innov,1
lifecycl,1
award,1
financi,1
vauquoi,1
aea,1
social,1
compet,1
horizon,1
harri,1
zellig,1
headquart,1
utrecht,1
netherland,1
triangl,1
tradit,1
crawl,1
listr,1
planner,1
expens,1
slight,1
gap,1
roadmap,1
gave,1
udpc,1
guesser,1
decemb,1
wors,1
hopkin,1
busi,1
internet,1
lot,1
rise,1
constantli,1
unstructur,1
clamr,1
ucb,1
john,1
old,1
five,1
today,1
pack,1
daneš,1
drsc,1
survay,1
prescrib,1
prais,1
jako,1
než,1
understood,1
grmmatic,1
und,1
naiv,1
murder,1
artfiti,1
absent,1
control,1
infinit,1
pml,1
tred,1
real,1
tackl,1
františek,1
sail,1
thesauru,1
amalach,1
solvabl,1
depth,1
complic,1
unsuccess,1
reviv,1
earlier,1
famili,1
exclud,1
randomli,1
durat,1
unless,1
termin,1
invoic,1
actual,1
grade,1
urg,1
scrutini,1
seal,1
multilevel,1
prune,1
longer,1
perceptron,1
podrobili,1
článek,1
pilotní,1
srovnavací,1
interpret,1
tent,1
lesser,1
synonym,1
polysem,1
ruštině,1
synerget,1
určit,1
analýz,1
srovnatelných,1
textů,1
třech,1
naší,1
motivací,1
bylo,1
zjistit,1
lingvistick,1
tento,1
taken,1
lie,1
novelti,1
peopl,1
chain,1
fill,1
morflex,1
disregard,1
evok,1
claim,1
extralinguist,1
eas,1
circumst,1
tempor,1
iii,1
low,1
sinc,1
genr,1
armenian,1
costli,1
greatest,1
canon,1
těchto,1
které,1
ranker,1
former,1
phenomenon,1
ident,1
chat,1
videoclip,1
life,1
stori,1
narr,1
carpathian,1
ruthenia,1
czechoslovakia,1
faktori,1
oxford,1
handbook,1
proce,1
highlight,1
tricki,1
proven,1
anonym,1
fluent,1
postedit,1
eff,1
compl,1
recov,1
confus,1
ovlivňují,1
tuto,1
titl,1
encycloped,1
exce,1
fetch,1
judgment,1
highest,1
black,1
benchmark,1
insid,1
mediaev,1
bbc,1
terrier,1
alex,1
fli,1
thoroughli,1
misunderstand,1
shamu,1
embrac,1
world,1
některých,1
encourag,1
protect,1
copi,1
exclus,1
maintain,1
tractabl,1
infer,1
anticip,1
remedi,1
copyright,1
configur,1
play,1
reimplement,1
mst,1
ryan,1
mcdonald,1
ideal,1
reli,1
alway,1
smaller,1
mechan,1
unauthor,1
everybodi,1
matic,1
simul,1
run,1
framenet,1
explan,1
offer,1
autom,1
repeatedli,1
among,1
automatick,1
denot,1
wsj,1
whose,1
convey,1
sparsiti,1
semiautomat,1
prevail,1
multilay,1
compos,1
grammatem,1
assist,1
formem,1
uniformli,1
diverg,1
coars,1
kolu,1
prolifer,1
přešla,1
bezkofeinov,1
recepturu,1
kterou,1
používá,1
prevent,1
svojí,1
novou,1
exhibit,1
trigram,1
skosbas,1
participl,1
subsect,1
drawback,1
této,1
práci,1
představujem,1
podrobný,1
srovnávací,1
coke,1
formula,1
switch,1
customis,1
mstparser,1
theweightedmodelinterpolationperform,1
postgradu,1
gate,1
capek,1
destin,1
redistribut,1
vocabulari,1
id,1
compani,1
outcom,1
wast,1
speci,1
notic,1
bi2,1
capac,1
affect,1
examin,1
intrins,1
converg,1
benefit,1
ordin,1
nejmladších,1
compound,1
though,1
lexicographi,1
split,1
impoverish,1
doubl,1
british,1
sbírání,1
zkušeností,1
závodníků,1
modal,1
ungrammat,1
draw,1
unambigu,1
prerequisit,1
affix,1
constitu,1
transpar,1
commonli,1
peculiar,1
deverb,1
notion,1
multidataset,1
stand,1
cure,1
quantiti,1
environ,1
labour,1
cultiv,1
poorli,1
retun,1
conceiv,1
cancel,1
bid,1
substanti,1
webservic,1
answer,1
tabl,1
adjust,1
abolish,1
sketch,1
tripl,1
colloc,1
emerg,1
portabl,1
cpan,1
farsi,1
california,1
half,1
mclaa,1
guid,1
mtmonkey,1
calcul,1
permut,1
assum,1
motiv,1
driven,1
precis,1
endeavor,1
unlik,1
pupil,1
41st,1
deepli,1
fp,1
thank,1
uniform,1
7th,1
southern,1
holocaust,1
prototyp,1
lemmat,1
clear,1
conform,1
decompos,1
gentl,1
brain,1
explain,1
r,1
reader,1
know,1
combinatori,1
character,1
gloss,1
satisfi,1
indonesian,1
neg,1
xml,1
negat,1
datlow,1
analyt,1
enter,1
